Latitude,Longitude,Elevation
41.72508000,-87.9736800,211.0
41.72490000,-87.9736300,211.0
41.72486000,-87.9736600,211.0
41.72485000,-87.9737300,211.0
41.72484000,-87.9737900,211.0
41.72482000,-87.9738500,211.0
41.72480000,-87.9739100,212.0
41.72475000,-87.9739900,212.0
41.72465000,-87.9740900,211.0
41.72459000,-87.9741800,211.0
41.72457000,-87.9742400,211.0
41.72455000,-87.9743100,211.0
41.72455000,-87.9744000,211.0
41.72455000,-87.9744400,211.0
41.72454000,-87.9744700,211.0
41.72454000,-87.9745200,211.0
41.72452000,-87.9745900,211.0
41.72450000,-87.9746300,211.0
41.72447000,-87.9746800,211.0
41.72439000,-87.9747800,210.0
41.72437000,-87.9748100,210.0
41.72434000,-87.9748900,209.0
41.72432000,-87.9749500,209.0
41.72430000,-87.9750600,209.0
41.72428000,-87.9751500,209.0
41.72415000,-87.9753800,209.0
41.72412000,-87.9754800,209.0
41.72406000,-87.9757100,210.0
41.72405000,-87.9757600,210.0
41.72405000,-87.9758200,211.0
41.72411000,-87.9762100,212.0
41.72415000,-87.9767100,212.0
41.72416000,-87.9771000,213.0
41.72416000,-87.9772100,213.0
41.72415000,-87.9774400,213.0
41.72414000,-87.9775500,213.0
41.72412000,-87.9776100,213.0
41.72410000,-87.9776400,214.0
41.72408000,-87.9776700,214.0
41.72404000,-87.9776900,214.0
41.72393000,-87.9777000,216.0
41.72378000,-87.9777200,217.0
41.72361000,-87.9777300,219.0
41.72343000,-87.9777400,219.0
41.72292000,-87.9777500,217.0
41.72266000,-87.9777200,215.0
41.72259000,-87.9777400,215.0
41.72252000,-87.9778200,215.0
41.72249000,-87.9779600,216.0
41.72247000,-87.9780500,216.0
41.72243000,-87.9781400,217.0
41.72235000,-87.9782100,217.0
41.72228000,-87.9782400,217.0
41.72211000,-87.9782400,217.0
41.72203000,-87.9782400,216.0
41.72194000,-87.9782500,216.0
41.72184000,-87.9782900,216.0
41.72174000,-87.9784000,216.0
41.72166000,-87.9785300,215.0
41.72160000,-87.9786400,215.0
41.72157000,-87.9787700,216.0
41.72155000,-87.9790500,217.0
41.72149000,-87.9792800,220.0
41.72144000,-87.9794600,222.0
41.72128000,-87.9796500,222.0
41.72125000,-87.9797600,222.0
41.72124000,-87.9800500,221.0
41.72124000,-87.9802100,221.0
41.72120000,-87.9803800,220.0
41.72116000,-87.9805000,220.0
41.72115000,-87.9806100,220.0
41.72116000,-87.9806700,220.0
41.72121000,-87.9807300,221.0
41.72127000,-87.9807800,221.0
41.72139000,-87.9808600,223.0
41.72145000,-87.9809300,224.0
41.72163000,-87.9812100,226.0
41.72169000,-87.9813300,226.0
41.72174000,-87.9814900,227.0
41.72175000,-87.9817000,227.0
41.72174000,-87.9818600,227.0
41.72172000,-87.9819100,227.0
41.72168000,-87.9819700,226.0
41.72160000,-87.9820800,226.0
41.72155000,-87.9821600,225.0
41.72154000,-87.9823300,225.0
41.72153000,-87.9825200,225.0
41.72141000,-87.9827600,225.0
41.72138000,-87.9829400,225.0
41.72138000,-87.9829900,225.0
41.72138000,-87.9831600,225.0
41.72137000,-87.9833800,226.0
41.72135000,-87.9834500,226.0
41.72117000,-87.9837500,225.0
41.72103000,-87.9841100,225.0
41.72096000,-87.9842300,225.0
41.72086000,-87.9843500,226.0
41.72071000,-87.9844400,226.0
41.72066000,-87.9845400,227.0
41.72061000,-87.9847100,228.0
41.72058000,-87.9848600,228.0
41.72057000,-87.9850400,228.0
41.72056000,-87.9852500,228.0
41.72053000,-87.9854400,228.0
41.72047000,-87.9857400,228.0
41.72039000,-87.9858200,228.0
41.72034000,-87.9859600,229.0
41.72026000,-87.9863200,229.0
41.72020000,-87.9864500,228.0
41.72010000,-87.9866100,228.0
41.71995000,-87.9867800,227.0
41.71991000,-87.9868900,226.0
41.71987000,-87.9870300,226.0
41.71985000,-87.9872700,225.0
41.71979000,-87.9874900,225.0
41.71982000,-87.9875800,225.0
41.71992000,-87.9876300,224.0
41.72001000,-87.9876400,224.0
41.72008000,-87.9876600,224.0
41.72011000,-87.9876800,224.0
41.72015000,-87.9877100,224.0
41.72018000,-87.9877500,224.0
41.72022000,-87.9878100,224.0
41.72026000,-87.9878700,224.0
41.72045000,-87.9881800,226.0
41.72051000,-87.9882500,226.0
41.72057000,-87.9882800,226.0
41.72065000,-87.9883300,226.0
41.72071000,-87.9883600,227.0
41.72075000,-87.9883700,227.0
41.72079000,-87.9883700,227.0
41.72082000,-87.9883600,227.0
41.72087000,-87.9883200,226.0
41.72093000,-87.9882600,226.0
41.72106000,-87.9880500,225.0
41.72112000,-87.9880000,224.0
41.72117000,-87.9879600,224.0
41.72123000,-87.9879600,224.0
41.72130000,-87.9879800,224.0
41.72135000,-87.9880600,225.0
41.72137000,-87.9881700,225.0
41.72138000,-87.9883300,226.0
41.72137000,-87.9888100,232.0
41.72136000,-87.9892300,235.0
41.72141000,-87.9898300,236.0
41.72142000,-87.9899000,236.0
41.72142000,-87.9899600,236.0
41.72140000,-87.9900400,235.0
41.72133000,-87.9901800,235.0
41.72130000,-87.9902900,234.0
41.72126000,-87.9904200,234.0
41.72123000,-87.9905900,234.0
41.72122000,-87.9906600,234.0
41.72118000,-87.9907600,234.0
41.72112000,-87.9908400,233.0
41.72106000,-87.9908900,233.0
41.72098000,-87.9909400,233.0
41.72090000,-87.9909800,233.0
41.72083000,-87.9909900,232.0
41.72075000,-87.9910000,232.0
41.72064000,-87.9910100,232.0
41.72055000,-87.9910200,232.0
41.72050000,-87.9910300,232.0
41.72045000,-87.9910600,232.0
41.72041000,-87.9911000,232.0
41.72037000,-87.9911500,232.0
41.72035000,-87.9912000,232.0
41.72030000,-87.9913400,232.0
41.72026000,-87.9914100,232.0
41.72021000,-87.9914600,232.0
41.72015000,-87.9915100,232.0
41.72009000,-87.9915300,232.0
41.72002000,-87.9915300,232.0
41.71992000,-87.9914900,232.0
41.71980000,-87.9914300,232.0
41.71976000,-87.9914100,232.0
41.71968000,-87.9913900,231.0
41.71960000,-87.9913900,231.0
41.71955000,-87.9914000,231.0
41.71950000,-87.9914400,231.0
41.71947000,-87.9914900,231.0
41.71943000,-87.9916000,232.0
41.71939000,-87.9917600,232.0
41.71935000,-87.9918400,232.0
41.71930000,-87.9918800,232.0
41.71925000,-87.9919400,232.0
41.71918000,-87.9920700,232.0
41.71911000,-87.9922000,232.0
41.71907000,-87.9923300,232.0
41.71904000,-87.9924600,232.0
41.71903000,-87.9926200,233.0
41.71902000,-87.9927500,233.0
41.71900000,-87.9928500,234.0
